"","AgencyName","NTDID","OrgType","reptype","id","survey_response","pop","mile","VOMS","revenue","City","County","Address","Zip","minutes_sum","minutes"
"102","Los Angeles County Dept. of Public Works - King Medical Center Shuttle Service","90274","Local Government","Reduced Reporter","Suburban City",0,12358,49,2,391677,"Alhambra","Los Angeles","","",NA,0
"103","Los Angeles County Dept. of Public Works - Lennox Shuttle","90275","Local Government","Reduced Reporter","Suburban City",0,27897,16,1,233086,"Alhambra","Los Angeles","","",NA,0
"104","Los Angeles County Dept. of Public Works - Willowbrook Shuttle","90278","Local Government","Reduced Reporter","Suburban City",0,24798,36,2,377958,"Alhambra","Los Angeles","","",NA,0
"105","Los Angeles County Metropolitan Transportation Authority","90154","Independent Public Agency","Full Reporter","Principal City",1,8595119,1459,3458,3556381509,"Los Angeles","Los Angeles","One Gateway Plaza  MS 99-23-3","90012",77,1
"106","Lynwood","90281","Local Government","Reduced Reporter","Suburban City",0,72015,5,4,820114,"Lynwood","Los Angeles","","",12,1
"107","Madera","90199","Local Government","Reduced Reporter","Principal City",0,66225,16,17,2134957,"Madera","Madera","205 W 4th Street","93637",27,1
"108","Madera County","9R02-91005","Local Government","Rural Reporter","Principal City",0,NA,NA,6,NA,"Madera","Madera","200 West 4th Street","93637",NA,0
"109","Madera County Transportation Commission (Madera CTC)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Madera","","","",NA,0
"110","Manteca","90217","Local Government","Reduced Reporter","Small Rural City",0,81345,21,5,2902291,"Manteca","San Joaquin","220 Moffat Blvd","95336",43,1
"111","Marin County Transit District","90234","Independent Public Agency","Full Reporter","Principal City",0,262573,520,85,43062740,"San Rafael","Marin","711 Grand Avenue Ste 110","94901",10,1
"112","Mariposa County Department of Public Works","91082","Local Government","","",0,NA,NA,NA,NA,"Mariposa","","4639 Ben Hur Road","95338",NA,0
"113","Maywood","90284","Local Government","Reduced Reporter","Suburban City",0,27748,2,5,417380,"Maywood","Los Angeles","","",9,1
"114","Mendocino Transit Authority","9R02-91047","Independent Public Agency","Rural Reporter","Principal City",0,NA,NA,23,NA,"Ukiah","Mendocino","241 Plant Road","95482",NA,0
"115","Merced County Association of Governments (MCAG)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Merced","","","",NA,0
"116","Metropolitan Transportation Commission (MTC)","","MPO/RTPA","","",1,NA,NA,NA,NA,"Oakland","","","",NA,0
"117","Modesto","90007","Local Government","Full Reporter","Principal City",0,253607,59,63,21276152,"Modesto","Stanislaus","PO Box 642","95354",NA,0
"118","Modoc County Transportation Commission","","MPO/RTPA","","",0,NA,NA,NA,NA,"Alturas","","108 S Main Street","96101",NA,0
"119","Modoc Transportation Agency","9R02-91008","Local Government","Rural Reporter","Small Rural City",0,NA,NA,3,NA,"Alturas","Modoc","","",NA,0
"120","Monrovia Public Works","90285","Local Government","","",0,NA,NA,NA,NA,"Monrovia","","600 South Mountain Avenue","91016",NA,0
"121","Montebello","90041","Local Government","Full Reporter","Suburban City",0,315074,151,107,31314137,"Montebello","Los Angeles","","",8,1
"122","Montebello Bus Lines","","Independent Public Agency","","",0,NA,NA,NA,NA,"Montebello","","400 S Taylor Avenue","90640",NA,0
"123","Monterey County, Transportation Agency (TAMC)","","Local Government","","",0,NA,NA,NA,NA,"Salinas","","55-B Plaza Circle","93901",NA,0
"124","Monterey Park","90286","Local Government","Reduced Reporter","Suburban City",0,62240,8,10,1625168,"Monterey Park","Los Angeles","320 W Newmark Avenue","91754",43,1
"125","Monterey-Salinas Transit","90062","Independent Public Agency","Full Reporter","Small Rural City",1,437907,294,120,76577503,"Monterey","Monterey","","",11,1
"126","Moorpark","90227","Local Government","Reduced Reporter","Suburban City",0,36828,12,2,967307,"Moorpark","Ventura","799 Moorpark Avenue","93021",20,1
"127","Morongo Basin Transit Authority","9R02-91090","Independent Public Agency","Rural Reporter","Suburban City",1,NA,NA,19,NA,"Joshua Tree","San Bernardino","62405 Verbena Road","92252",NA,0
"128","Morro Bay","","Local Government","","",0,NA,NA,NA,NA,"Morro Bay","","595 Harbor Street","93442",NA,0
